row,segment,buyer,pain,offer,price_eur,channel,first_message_angle,status
1,Accounting firms,Owner or operations lead,Client emails and document triage take partner time,AI assistant blueprint plus 72h one-process pilot,149,LinkedIn or email,Show 30% time saving on one inbox workflow,ready
2,Used auto parts sellers,Owner or pricing lead,OEM code checking and price research are repetitive,AI pricing assistant brief and pilot,149,email,Turn one repeated pricing task into a controlled assistant,ready
3,Small e-commerce stores,Founder or ops manager,Product descriptions support replies and refunds repeat daily,Workflow assistant blueprint and pilot,149,email,Reduce support and listing admin without blind automation,ready
4,Recruitment agencies,Agency owner,CV screening and candidate updates are slow,Human-in-loop assistant plan and pilot,149,LinkedIn,Make one screening workflow measurable and safe,ready
5,Real estate brokers,Agency owner,Lead qualification and listing text work repeats,Assistant blueprint with approval gates,149,email,Automate first draft and qualification but keep broker approval,ready
6,Insurance brokers,Owner or back-office lead,Claims documents and client follow-ups are messy,Controlled AI workflow pilot,149,email,Map one claims admin process with audit trail,ready
7,Car repair workshops,Manager,Booking parts messages and estimates are manual,Service admin assistant blueprint,149,email,Reduce repeated estimate/admin work with human approval,ready
8,Legal micro-firms,Partner,Intake summaries and document checklists consume time,Safe assistant spec and pilot,149,email,No legal advice automation; only intake and checklist workflow,ready
9,Training providers,Founder,Course inquiries and certificate admin repeat,Assistant blueprint and 72h pilot,149,email,Automate inquiry sorting and draft replies,ready
10,Construction SMEs,Owner or project coordinator,Quote requests and supplier follow-ups repeat,Workflow assistant blueprint,149,email,Make one quote intake process traceable,ready
11,Dental clinics,Clinic manager,Patient FAQ and appointment admin repeat,Human-approved assistant workflow,149,email,Reduce admin drafts without autonomous medical advice,ready
12,Beauty clinics,Owner,Client messages and booking questions repeat,Assistant blueprint and pilot,149,Instagram or email,Turn message triage into a controlled workflow,ready
13,Logistics micro-companies,Dispatcher or owner,Shipment status replies and documents repeat,Ops assistant blueprint,149,email,Create one status/update assistant with escalation rules,ready
14,Wholesale distributors,Sales ops lead,Quote preparation and stock replies repeat,Sales assistant blueprint,149,email,Speed up draft quotes while preserving approval,ready
15,IT service providers,Founder,Support tickets and handover notes repeat,Support assistant blueprint,149,LinkedIn,Convert ticket triage into a measured workflow,ready
16,Marketing agencies,Agency owner,Briefs reports and content approvals scatter,Client ops assistant blueprint,149,email,One client reporting workflow with QA gates,ready
17,Bookkeeping freelancers,Self-employed bookkeeper,Document reminders and categorization repeat,Assistant blueprint and pilot,149,email,Make reminders and triage measurable in 72h,ready
18,Local manufacturers,Production admin lead,Order changes and supplier messages repeat,Ops assistant blueprint,149,email,Reduce repeated admin without touching ERP autonomously,ready
19,Property managers,Manager,Tenant requests and contractor follow-ups repeat,Workflow assistant blueprint,149,email,One tenant request flow with escalation rules,ready
20,Online course creators,Creator or VA lead,DM replies and lead qualification repeat,Creator ops assistant blueprint,149,Instagram or email,Turn repetitive messages into approved reply drafts,ready
